"COMMON.NAME" "SCIENTIFIC.NAME" "OBSERVATION.COUNT" "LATITUDE" "LONGITUDE" "DATE" "MONTH" "DAY" "MIGRANT"
"Imperial Eagle" "Aquila heliaca" "1" 25.1921346 55.3193807 "1999-12-03" "12" 337 "yes"
"White Stork" "Ciconia ciconia" "7" 25.172219 55.550809 "1980-03-07" "03" 67 "yes"
"Peregrine Falcon" "Falco peregrinus" "1" 25.2052 55.2965 "1990-07-12" "07" 193 "yes"
"Gray Heron" "Ardea cinerea" "2" 25.205159 55.29646 "1999-04-05" "04" 95 "no"
"Steppe Eagle" "Aquila nipalensis" "2" 25.205159 55.29646 "1990-01-02" "01" 2 "yes"
"Striated Heron" "Butorides striata" "1" 25.205159 55.29646 "1999-01-17" "01" 17 "no"
"Little Egret" "Egretta garzetta" "5" 25.205159 55.29646 "1993-03-13" "03" 72 "no"
"Bonelli's Eagle" "Aquila fasciata" "1" 25.205159 55.29646 "1990-03-02" "03" 61 "yes"
"Great Gray Shrike" "Lanius excubitor" "3" 25.169707 55.432797 "1999-11-20" "11" 324 "no"
"Eurasian Kestrel" "Falco tinnunculus" "1" 25.086263 55.163731 "1994-12-09" "12" 343 "yes"
"Great Gray Shrike" "Lanius excubitor" "1" 25.086263 55.163731 "1995-12-25" "12" 359 "no"
"Common Myna" "Acridotheres tristis" "X" 25.086263 55.163731 "1990-03-01" "03" 60 "no"
"Common Myna" "Acridotheres tristis" "80" 25.185622 55.2467036 "1998-03-19" "03" 78 "no"
"Common Myna" "Acridotheres tristis" "X" 25.185622 55.2467036 "1998-11-22" "11" 326 "no"
"Cattle Egret" "Bubulcus ibis" "3" 25.185622 55.2467036 "1991-04-19" "04" 109 "no"
"Indian Roller" "Coracias benghalensis" "3" 25.185622 55.2467036 "1990-10-12" "10" 285 "no"
"Great Egret" "Ardea alba" "24" 25.1921346 55.3193807 "1999-01-30" "01" 30 "no"
"Gray Heron" "Ardea cinerea" "7" 24.813432 56.142749 "1999-02-19" "02" 50 "no"
"Little Egret" "Egretta garzetta" "1" 25.159611 55.41546 "1999-07-03" "07" 184 "no"
"Great Egret" "Ardea alba" "4" 25.2052 55.2965 "1990-08-09" "08" 221 "no"
